select state, p_date, sum(newcomer) as newcomer, sum(freshout) as freshout from payments group by state, p_date order by state, p_date;
+-------+------------+----------+----------+
| state | p_date     | newcomer | freshout |
| AL    | 2015-04-01 |      621 |     -903 |
| AL    | 2015-05-01 |      326 |    -2353 |
| AL    | 2015-06-01 |      464 |    -1148 |
| AL    | 2015-07-01 |      390 |    -1434 |
| AL    | 2015-08-01 |      566 |    -6470 |
| AL    | 2015-09-01 |     7287 |   -10533 |
| AL    | 2015-10-01 |     9623 |   -10132 |
| AL    | 2015-11-01 |     6204 |    -3217 |
| AL    | 2015-12-01 |     4936 |   -16022 |
| AL    | 2016-01-01 |    11943 |     -838 |
| AL    | 2016-02-01 |      575 |   -13139 |
| AL    | 2016-03-01 |     4781 |    -2182 |
| AL    | 2016-04-01 |     2103 |    -2080 |
| AL    | 2016-05-01 |      398 |    -2825 |
| AL    | 2016-06-01 |     2078 |    -4036 |
| AL    | 2016-07-01 |     2672 |    -2070 |
| AL    | 2016-08-01 |      524 |   -12264 |
| AL    | 2016-09-01 |    10944 |    -2654 |
| AL    | 2016-10-01 |     1489 |   -12364 |
| AL    | 2016-11-01 |     1600 |    -4638 |
| AL    | 2016-12-01 |     4521 |   -11481 |
| AL    | 2017-01-01 |     7116 |    -1648 |
| AL    | 2017-02-01 |     2245 |  -399078 |
| AM    | 2011-01-01 |   287423 |    -2109 |
| AM    | 2011-02-01 |     8500 |     -727 |
| AM    | 2011-03-01 |      755 |     -620 |
| AM    | 2011-04-01 |      827 |     -671 |
| AM    | 2011-05-01 |      530 |     -635 |
| AM    | 2011-06-01 |      479 |     -360 |
| AM    | 2011-07-01 |      633 |    -6170 |
| AM    | 2011-08-01 |     8686 |     -871 |
| AM    | 2011-09-01 |    15025 |    -1715 |
| AM    | 2011-10-01 |     2794 |     -880 |
| AM    | 2011-11-01 |     2825 |     -622 |
| AM    | 2011-12-01 |     1979 |    -2233 |
| AM    | 2012-01-01 |     2639 |     -639 |
| AM    | 2012-02-01 |     2252 |    -1368 |
| AM    | 2012-03-01 |    14945 |    -1406 |
| AM    | 2012-04-01 |     3330 |    -3812 |
| AM    | 2012-05-01 |     4909 |    -1015 |
| AM    | 2012-06-01 |      478 |    -1067 |
| AM    | 2012-07-01 |     4246 |    -1041 |
| AM    | 2012-08-01 |     5604 |    -1943 |
| AM    | 2012-09-01 |      494 |     -630 |
| AM    | 2012-10-01 |      769 |     -409 |
| AM    | 2012-11-01 |      905 |    -2997 |
| AM    | 2012-12-01 |      373 |    -1270 |
| AM    | 2013-01-01 |     1438 |    -2621 |
| AM    | 2013-02-01 |      292 |    -1426 |
| AM    | 2013-03-01 |    10605 |    -7709 |
| AM    | 2013-04-01 |     5824 |   -10761 |
| AM    | 2013-05-01 |    15196 |    -4148 |
| AM    | 2013-06-01 |     1104 |     -702 |
| AM    | 2013-07-01 |     5711 |    -2107 |
| AM    | 2013-08-01 |     5704 |    -1210 |
| AM    | 2013-09-01 |     6460 |     -727 |
| AM    | 2013-10-01 |     1200 |    -1962 |
| AM    | 2013-11-01 |     1663 |     -852 |
| AM    | 2013-12-01 |    16341 |    -1767 |
| AM    | 2014-01-01 |     2862 |    -2167 |
| AM    | 2014-02-01 |     2494 |    -3724 |
| AM    | 2014-03-01 |     5588 |    -1315 |
| AM    | 2014-04-01 |     4195 |    -4071 |
| AM    | 2014-05-01 |     3749 |     -951 |
| AM    | 2014-06-01 |     3935 |    -5225 |
| AM    | 2014-07-01 |     9959 |    -6026 |
| AM    | 2014-08-01 |      984 |     -707 |
| AM    | 2014-09-01 |     1246 |     -643 |
| AM    | 2014-10-01 |      738 |     -530 |
| AM    | 2014-11-01 |      771 |    -1077 |
| AM    | 2014-12-01 |      563 |     -763 |
| AM    | 2015-01-01 |      365 |     -535 |
| AM    | 2015-02-01 |     1526 |     -519 |
| AM    | 2015-03-01 |      462 |    -5233 |
| AM    | 2015-04-01 |      530 |     -474 |
| AM    | 2015-05-01 |      314 |    -2120 |
| AM    | 2015-06-01 |     1381 |    -1218 |
| AM    | 2015-07-01 |      827 |    -1886 |
