"p_date","mean"
"2011-01-01",96.8958723632875
"2011-02-01",97.0443754023459
"2011-03-01",97.1508698754157
"2011-04-01",113.282830212275
"2011-05-01",113.528608779354
"2011-06-01",113.770119684458
"2011-07-01",113.930596468332
"2011-08-01",116.351062436378
"2011-09-01",118.818393156667
"2011-10-01",118.889332398778
"2011-11-01",118.880347929573
"2011-12-01",118.982475668773
"2012-01-01",116.015845125944
"2012-02-01",116.461983543555
"2012-03-01",116.991420888545
"2012-04-01",119.031668998583
"2012-05-01",119.099825413525
"2012-06-01",119.555802970781
"2012-07-01",120.44335886343
"2012-08-01",120.50400157497
"2012-09-01",120.977400854611
"2012-10-01",141.179212373394
"2012-11-01",141.373744830037
"2012-12-01",154.836327029628
"2013-01-01",152.475480526329
"2013-02-01",156.532333395017
"2013-03-01",166.54289400319
"2013-04-01",167.654275706667
"2013-05-01",169.267591376606
"2013-06-01",170.176876092909
"2013-07-01",169.924668841199
"2013-08-01",170.070376077003
"2013-09-01",169.833119256114
"2013-10-01",170.166928879837
"2013-11-01",170.352399126502
"2013-12-01",170.044897653598
"2014-01-01",169.279632780383
"2014-02-01",168.969981089409
"2014-03-01",169.224439529175
"2014-04-01",168.461624127075
"2014-05-01",169.107330970061
"2014-06-01",189.440664161227
"2014-07-01",187.744266358936
"2014-08-01",188.624661693269
"2014-09-01",188.771870932533
"2014-10-01",189.158902157406
"2014-11-01",189.37157152842
"2014-12-01",189.601771186776
"2015-01-01",188.85316458463
"2015-02-01",188.939169869764
"2015-03-01",189.05257589696
"2015-04-01",189.829034134335
"2015-05-01",189.708158357641
"2015-06-01",189.704031603586
"2015-07-01",188.80883030756
"2015-08-01",187.423601784183
"2015-09-01",186.478557319419
"2015-10-01",185.210040787463
"2015-11-01",185.026527098056
"2015-12-01",184.803153485526
"2016-01-01",182.571822426409
"2016-02-01",182.465060150837
"2016-03-01",182.395853647266
"2016-04-01",182.753838356805
"2016-05-01",183.026048231611
"2016-06-01",183.710644997912
"2016-07-01",205.789075687579
"2016-08-01",205.996647504292
"2016-09-01",206.014206962567
"2016-10-01",206.118893096373
"2016-11-01",207.835341558145
"2016-12-01",206.567226900385
"2017-01-01",203.085606501599
"2017-02-01",203.342913609269
