"p_date","mean"
"2011-01-01",106.709037596266
"2011-02-01",107.137931623056
"2011-03-01",107.254445754112
"2011-04-01",128.894485512788
"2011-05-01",129.116493774167
"2011-06-01",129.305470295341
"2011-07-01",129.334458537915
"2011-08-01",131.983232301748
"2011-09-01",141.230843772575
"2011-10-01",141.526360619665
"2011-11-01",142.239696985825
"2011-12-01",142.936842479384
"2012-01-01",138.587604484483
"2012-02-01",139.540277325224
"2012-03-01",136.264042033596
"2012-04-01",139.676901605024
"2012-05-01",141.323620411662
"2012-06-01",141.85746388443
"2012-07-01",143.24951610321
"2012-08-01",143.084269340972
"2012-09-01",143.43679424403
"2012-10-01",177.075316672375
"2012-11-01",177.46959977292
"2012-12-01",190.625019570717
"2013-01-01",190.834423637605
"2013-02-01",195.372268173949
"2013-03-01",197.695080881132
"2013-04-01",198.989022944418
"2013-05-01",202.430024280265
"2013-06-01",202.968234044605
"2013-07-01",204.547699396899
"2013-08-01",205.570130063073
"2013-09-01",204.947729700856
"2013-10-01",205.361361973798
"2013-11-01",206.23385339376
"2013-12-01",204.484030293052
"2014-01-01",203.242935145837
"2014-02-01",203.231522295619
"2014-03-01",205.103411675513
"2014-04-01",203.942349447203
"2014-05-01",205.844423664991
"2014-06-01",231.617644857012
"2014-07-01",232.21217331074
"2014-08-01",234.351855589474
"2014-09-01",234.851609005903
"2014-10-01",235.932678555611
"2014-11-01",236.230818924566
"2014-12-01",236.94013238975
"2015-01-01",235.804595655985
"2015-02-01",236.289653947634
"2015-03-01",236.875887290319
"2015-04-01",237.979456900655
"2015-05-01",238.763159925903
"2015-06-01",239.519430753749
"2015-07-01",239.312600812958
"2015-08-01",237.908893625266
"2015-09-01",232.429128463225
"2015-10-01",231.136446078432
"2015-11-01",230.951328587932
"2015-12-01",231.027518743131
"2016-01-01",228.19337848006
"2016-02-01",228.598554902923
"2016-03-01",229.034674951972
"2016-04-01",229.743655330935
"2016-05-01",231.12313658519
"2016-06-01",232.38176434916
"2016-07-01",259.434430391708
"2016-08-01",259.484857827211
"2016-09-01",259.093451828586
"2016-10-01",260.06079417746
"2016-11-01",261.932352587966
"2016-12-01",259.824731818562
"2017-01-01",255.885002956828
"2017-02-01",256.802707612963
