"p_date","mean"
"2011-01-01",83.6344391187355
"2011-02-01",84.4463362553388
"2011-03-01",84.4424892310521
"2011-04-01",104.215377685182
"2011-05-01",104.793537705083
"2011-06-01",105.123744754738
"2011-07-01",105.311950879312
"2011-08-01",107.781242194042
"2011-09-01",112.770322562221
"2011-10-01",112.909708224329
"2011-11-01",113.616706148495
"2011-12-01",113.883273900009
"2012-01-01",111.892278967286
"2012-02-01",112.38193088464
"2012-03-01",113.220208015253
"2012-04-01",117.076620459779
"2012-05-01",118.165173280921
"2012-06-01",118.999700801997
"2012-07-01",119.489644464703
"2012-08-01",120.411673286134
"2012-09-01",121.523537544162
"2012-10-01",132.200294305467
"2012-11-01",132.173601580939
"2012-12-01",137.742578701472
"2013-01-01",134.731028926831
"2013-02-01",136.205014384368
"2013-03-01",138.164909423976
"2013-04-01",138.470701060512
"2013-05-01",139.01105291376
"2013-06-01",140.040604120268
"2013-07-01",140.134380960279
"2013-08-01",140.563810593561
"2013-09-01",139.827779642998
"2013-10-01",140.038485919956
"2013-11-01",139.005994565672
"2013-12-01",138.283134587276
"2014-01-01",135.902927772405
"2014-02-01",136.20025707471
"2014-03-01",137.153856985948
"2014-04-01",136.158082940503
"2014-05-01",136.615927477191
"2014-06-01",155.069650676821
"2014-07-01",155.385688257395
"2014-08-01",156.021831820545
"2014-09-01",155.924235848919
"2014-10-01",155.908003243077
"2014-11-01",154.52358686171
"2014-12-01",154.397819415865
"2015-01-01",152.257095776652
"2015-02-01",152.567072147342
"2015-03-01",152.648261305939
"2015-04-01",152.590212785075
"2015-05-01",152.342008742778
"2015-06-01",151.812771777508
"2015-07-01",151.807815256951
"2015-08-01",151.242010659884
"2015-09-01",150.212581566069
"2015-10-01",149.33925521521
"2015-11-01",148.062358687851
"2015-12-01",147.997577556056
"2016-01-01",146.835624378283
"2016-02-01",145.818937358516
"2016-03-01",145.829977033726
"2016-04-01",146.205793583624
"2016-05-01",146.679133937725
"2016-06-01",146.895006992118
"2016-07-01",165.377565383752
"2016-08-01",165.32306186952
"2016-09-01",165.189635503945
"2016-10-01",165.145107582958
"2016-11-01",167.347219523253
"2016-12-01",162.809805517128
"2017-01-01",160.852364066194
"2017-02-01",163.075099479261
