"p_date","mean"
"2011-01-01",83.4026049460295
"2011-02-01",84.3782297989849
"2011-03-01",84.3142436884666
"2011-04-01",102.803190603761
"2011-05-01",103.264423997835
"2011-06-01",103.502458896876
"2011-07-01",103.681906765239
"2011-08-01",105.947572661756
"2011-09-01",110.034493997382
"2011-10-01",110.266530788402
"2011-11-01",110.785845216592
"2011-12-01",110.801107983336
"2012-01-01",109.199114431992
"2012-02-01",109.712725161356
"2012-03-01",110.499142523537
"2012-04-01",113.327614116069
"2012-05-01",114.133673726391
"2012-06-01",114.808385052126
"2012-07-01",115.311721980981
"2012-08-01",116.005020075787
"2012-09-01",116.768263991657
"2012-10-01",124.809707360627
"2012-11-01",124.735508050897
"2012-12-01",128.847883697872
"2013-01-01",126.436463928194
"2013-02-01",127.865147586363
"2013-03-01",129.393674385911
"2013-04-01",129.753198374555
"2013-05-01",130.186216704217
"2013-06-01",131.285639268726
"2013-07-01",131.540669239488
"2013-08-01",131.819158162969
"2013-09-01",131.223854445554
"2013-10-01",131.587014549425
"2013-11-01",131.135923720277
"2013-12-01",130.472850787841
"2014-01-01",128.456985029596
"2014-02-01",128.671245808033
"2014-03-01",129.21019251751
"2014-04-01",127.966382235016
"2014-05-01",127.993231778185
"2014-06-01",145.270384278292
"2014-07-01",145.436021699648
"2014-08-01",146.022465887051
"2014-09-01",146.055536560817
"2014-10-01",146.256376643227
"2014-11-01",145.904555637076
"2014-12-01",145.69578023431
"2015-01-01",143.818272491522
"2015-02-01",144.338485571194
"2015-03-01",144.427635467861
"2015-04-01",144.018728686926
"2015-05-01",143.933480424852
"2015-06-01",143.75637351302
"2015-07-01",143.681851681366
"2015-08-01",143.48776383868
"2015-09-01",141.955663571982
"2015-10-01",140.967289372755
"2015-11-01",139.494494208791
"2015-12-01",139.50412164268
"2016-01-01",137.958677770132
"2016-02-01",137.142975897836
"2016-03-01",137.224182426295
"2016-04-01",137.62116263377
"2016-05-01",138.10725964683
"2016-06-01",138.530432669064
"2016-07-01",155.686923831733
"2016-08-01",156.018904334867
"2016-09-01",155.268925851477
"2016-10-01",155.301367983149
"2016-11-01",157.57747088469
"2016-12-01",151.835797359627
"2017-01-01",149.708066205625
"2017-02-01",151.511918352185
