"p_date","mean"
"2011-01-01",96.1448454714246
"2011-02-01",96.0207773323596
"2011-03-01",96.0418306609355
"2011-04-01",112.080662368386
"2011-05-01",112.479257042001
"2011-06-01",112.69949867913
"2011-07-01",112.839395780174
"2011-08-01",115.721872746326
"2011-09-01",118.545916225438
"2011-10-01",118.651442003843
"2011-11-01",118.592756594205
"2011-12-01",118.608073120874
"2012-01-01",115.870082478353
"2012-02-01",116.238417488096
"2012-03-01",116.677338171495
"2012-04-01",118.385895930964
"2012-05-01",118.158545802482
"2012-06-01",118.565942286135
"2012-07-01",119.335855257039
"2012-08-01",119.486100200334
"2012-09-01",119.962143672411
"2012-10-01",132.691856625092
"2012-11-01",132.779240089742
"2012-12-01",140.542493726738
"2013-01-01",138.384266502839
"2013-02-01",140.68204712767
"2013-03-01",146.088467976515
"2013-04-01",146.632829044757
"2013-05-01",147.34378048802
"2013-06-01",148.055022216367
"2013-07-01",148.080881315767
"2013-08-01",147.826212618432
"2013-09-01",147.345542820483
"2013-10-01",147.681247964074
"2013-11-01",147.912028911942
"2013-12-01",147.701337987001
"2014-01-01",146.257611656005
"2014-02-01",146.262587339219
"2014-03-01",146.022219691948
"2014-04-01",145.127675025663
"2014-05-01",145.683071154541
"2014-06-01",163.457501234805
"2014-07-01",162.91236753972
"2014-08-01",163.57570088801
"2014-09-01",163.779517859082
"2014-10-01",164.048831220714
"2014-11-01",164.263245905964
"2014-12-01",164.373180892977
"2015-01-01",163.104240244406
"2015-02-01",163.307466710593
"2015-03-01",163.455357530517
"2015-04-01",164.001903825958
"2015-05-01",163.997681825149
"2015-06-01",164.121040411219
"2015-07-01",163.809429763133
"2015-08-01",163.011972206318
"2015-09-01",161.718864286495
"2015-10-01",160.678939778339
"2015-11-01",160.350467887574
"2015-12-01",160.217629058285
"2016-01-01",157.774296326351
"2016-02-01",157.61948230707
"2016-03-01",157.648890221436
"2016-04-01",157.958422810471
"2016-05-01",158.307197814308
"2016-06-01",158.917374084366
"2016-07-01",178.467386303751
"2016-08-01",178.822422563101
"2016-09-01",178.620650592998
"2016-10-01",178.985716315655
"2016-11-01",180.560771140038
"2016-12-01",179.020570402547
"2017-01-01",175.873829121892
"2017-02-01",176.42414414126
