"p_date","mean"
"2011-01-01",106.56829481287
"2011-02-01",106.796921990145
"2011-03-01",106.919711791204
"2011-04-01",128.277914619751
"2011-05-01",128.680923605155
"2011-06-01",129.047383409606
"2011-07-01",129.234504939758
"2011-08-01",132.722981800083
"2011-09-01",139.405227040543
"2011-10-01",139.211426822527
"2011-11-01",139.34515152308
"2011-12-01",139.598857737929
"2012-01-01",135.397204276578
"2012-02-01",135.514559961646
"2012-03-01",135.606901375616
"2012-04-01",137.665324240745
"2012-05-01",138.448744451691
"2012-06-01",139.011354135263
"2012-07-01",139.872127694201
"2012-08-01",139.803030577768
"2012-09-01",140.595492275028
"2012-10-01",162.282391472455
"2012-11-01",162.59714348707
"2012-12-01",157.593396978475
"2013-01-01",170.860714198779
"2013-02-01",174.413785641195
"2013-03-01",177.285416928353
"2013-04-01",178.267136926453
"2013-05-01",179.393631333245
"2013-06-01",179.792694805681
"2013-07-01",180.08607569509
"2013-08-01",180.693077794808
"2013-09-01",179.381072895008
"2013-10-01",180.059957853412
"2013-11-01",180.885932307408
"2013-12-01",179.011997274861
"2014-01-01",177.995694414083
"2014-02-01",178.235399999446
"2014-03-01",178.624326918021
"2014-04-01",177.689631027006
"2014-05-01",178.340615954487
"2014-06-01",200.970488044271
"2014-07-01",201.07220294648
"2014-08-01",203.044244027729
"2014-09-01",203.567410198342
"2014-10-01",204.187871114698
"2014-11-01",204.513655229662
"2014-12-01",204.927595476351
"2015-01-01",203.560818521381
"2015-02-01",203.916560698367
"2015-03-01",204.241697529492
"2015-04-01",205.018990676013
"2015-05-01",205.36776452473
"2015-06-01",205.764046061414
"2015-07-01",205.340780029071
"2015-08-01",204.347807789535
"2015-09-01",202.209868341422
"2015-10-01",199.415564681725
"2015-11-01",199.697659749468
"2015-12-01",199.628980168337
"2016-01-01",198.021723942008
"2016-02-01",197.674974228696
"2016-03-01",197.580879992879
"2016-04-01",198.139482519396
"2016-05-01",199.014777848024
"2016-06-01",200.029514114036
"2016-07-01",224.890306537202
"2016-08-01",225.710325780667
"2016-09-01",225.720901653547
"2016-10-01",226.809077218151
"2016-11-01",228.173631050179
"2016-12-01",225.812420553703
"2017-01-01",222.668522256562
"2017-02-01",223.132190597486
