"p_date","mean"
"2011-01-01",109.788727539104
"2011-02-01",109.623679115915
"2011-03-01",109.675239210303
"2011-04-01",131.273081872287
"2011-05-01",131.570025361297
"2011-06-01",131.725713133757
"2011-07-01",131.816356157756
"2011-08-01",137.280946813528
"2011-09-01",143.297540031119
"2011-10-01",143.105803001277
"2011-11-01",143.083316896129
"2011-12-01",143.425834120239
"2012-01-01",138.284542153304
"2012-02-01",138.322417548225
"2012-03-01",138.722498253241
"2012-04-01",141.849783228527
"2012-05-01",142.235798582272
"2012-06-01",142.702025184238
"2012-07-01",143.892299223658
"2012-08-01",143.733465881381
"2012-09-01",144.763682295497
"2012-10-01",163.551667639689
"2012-11-01",163.920246204656
"2012-12-01",176.084280472509
"2013-01-01",173.683211404989
"2013-02-01",175.971761746884
"2013-03-01",179.314148502504
"2013-04-01",179.302763983883
"2013-05-01",180.579819561358
"2013-06-01",180.377548308721
"2013-07-01",180.051222482436
"2013-08-01",179.914667670873
"2013-09-01",178.930920742626
"2013-10-01",179.342071514786
"2013-11-01",178.551720288049
"2013-12-01",179.21554078996
"2014-01-01",176.372095602508
"2014-02-01",177.082919076749
"2014-03-01",177.940522814578
"2014-04-01",176.154807780955
"2014-05-01",177.564898904959
"2014-06-01",199.816355467169
"2014-07-01",198.075413932049
"2014-08-01",198.974670034509
"2014-09-01",199.051917498055
"2014-10-01",199.934429152108
"2014-11-01",200.025282150943
"2014-12-01",200.298096947935
"2015-01-01",197.895734087898
"2015-02-01",198.374110264454
"2015-03-01",198.563202121369
"2015-04-01",199.448745752909
"2015-05-01",199.925480986359
"2015-06-01",200.188465668165
"2015-07-01",200.131640917687
"2015-08-01",199.32772838667
"2015-09-01",193.312218425393
"2015-10-01",190.814140013863
"2015-11-01",190.04561567009
"2015-12-01",189.622478480846
"2016-01-01",185.369771156554
"2016-02-01",185.47220855878
"2016-03-01",185.128760320121
"2016-04-01",186.076784358391
"2016-05-01",187.042709211509
"2016-06-01",188.168795025523
"2016-07-01",212.835678359967
"2016-08-01",213.540128039337
"2016-09-01",211.971628302421
"2016-10-01",212.626276518384
"2016-11-01",214.8568327258
"2016-12-01",212.303489917836
"2017-01-01",209.037481810522
"2017-02-01",209.730085343116
