"p_date","mean"
"2011-01-01",89.4830580683352
"2011-02-01",90.4777091229152
"2011-03-01",90.3829741810336
"2011-04-01",107.786641637908
"2011-05-01",108.433905345926
"2011-06-01",108.626384923931
"2011-07-01",108.727760496094
"2011-08-01",110.676451240638
"2011-09-01",114.404920814224
"2011-10-01",114.378837215027
"2011-11-01",114.769585222712
"2011-12-01",114.633901831944
"2012-01-01",112.863090856937
"2012-02-01",113.411807549609
"2012-03-01",113.998696729367
"2012-04-01",117.101827214625
"2012-05-01",117.571929090389
"2012-06-01",118.101150136953
"2012-07-01",118.479839575389
"2012-08-01",119.059656856409
"2012-09-01",119.635509812486
"2012-10-01",130.374446126114
"2012-11-01",130.399271364542
"2012-12-01",136.650230087655
"2013-01-01",134.236359006005
"2013-02-01",135.957620476831
"2013-03-01",138.025091706277
"2013-04-01",138.237109624605
"2013-05-01",139.033368374943
"2013-06-01",140.081447560276
"2013-07-01",140.298319751802
"2013-08-01",140.392555043886
"2013-09-01",139.92970357379
"2013-10-01",140.276918189878
"2013-11-01",140.066742678671
"2013-12-01",139.397059400118
"2014-01-01",137.627477315878
"2014-02-01",137.749795520427
"2014-03-01",138.23395185667
"2014-04-01",136.865919388618
"2014-05-01",137.249883822768
"2014-06-01",154.767765694999
"2014-07-01",154.76217262738
"2014-08-01",155.619312102138
"2014-09-01",155.546871949037
"2014-10-01",155.850939313128
"2014-11-01",155.361028913773
"2014-12-01",155.383503475489
"2015-01-01",153.653465049938
"2015-02-01",154.114381852828
"2015-03-01",154.17699685829
"2015-04-01",153.70196684744
"2015-05-01",153.574748748241
"2015-06-01",153.345972210913
"2015-07-01",153.131005310088
"2015-08-01",152.558190853113
"2015-09-01",150.76354184651
"2015-10-01",149.488130270398
"2015-11-01",148.431279520019
"2015-12-01",148.282473669369
"2016-01-01",146.721125814566
"2016-02-01",145.945284384125
"2016-03-01",145.665798968121
"2016-04-01",145.869837173335
"2016-05-01",146.259051980835
"2016-06-01",146.484371033021
"2016-07-01",164.358453482846
"2016-08-01",164.403763611791
"2016-09-01",164.238514314541
"2016-10-01",164.039563670237
"2016-11-01",166.458557891312
"2016-12-01",162.613588194254
"2017-01-01",160.646470617076
"2017-02-01",162.641098579591
