"p_date","mean"
"2011-01-01",88.1024648949634
"2011-02-01",88.7659143149051
"2011-03-01",88.7324234307942
"2011-04-01",107.355249869777
"2011-05-01",107.783203000149
"2011-06-01",108.124547329576
"2011-07-01",108.27915003547
"2011-08-01",111.535284011713
"2011-09-01",114.945132967764
"2011-10-01",115.059939797077
"2011-11-01",115.494824297137
"2011-12-01",115.923645153745
"2012-01-01",113.617203447791
"2012-02-01",113.930773374215
"2012-03-01",114.495100610151
"2012-04-01",116.659309414482
"2012-05-01",117.144813092376
"2012-06-01",117.704295295677
"2012-07-01",118.1105747411
"2012-08-01",118.572586131616
"2012-09-01",119.145861749
"2012-10-01",126.824454783808
"2012-11-01",126.876212875621
"2012-12-01",130.845692935998
"2013-01-01",128.242090402477
"2013-02-01",129.5345032963
"2013-03-01",131.39478645831
"2013-04-01",131.464473887925
"2013-05-01",132.223166560554
"2013-06-01",133.238330176499
"2013-07-01",133.207276366816
"2013-08-01",133.262067918418
"2013-09-01",132.801005171902
"2013-10-01",133.186563161036
"2013-11-01",132.982997637858
"2013-12-01",132.269719851925
"2014-01-01",130.316905444126
"2014-02-01",130.595193302146
"2014-03-01",130.523454904207
"2014-04-01",129.44065657801
"2014-05-01",130.108826080118
"2014-06-01",147.486540333607
"2014-07-01",148.324466925832
"2014-08-01",149.098694149543
"2014-09-01",149.16025392493
"2014-10-01",149.460863177416
"2014-11-01",149.24564265076
"2014-12-01",149.136687631026
"2015-01-01",147.46470325043
"2015-02-01",147.909059352567
"2015-03-01",148.029840974849
"2015-04-01",147.838410294983
"2015-05-01",147.708369363637
"2015-06-01",147.883244816614
"2015-07-01",147.734237014024
"2015-08-01",147.713987384702
"2015-09-01",146.121146141787
"2015-10-01",145.016168333416
"2015-11-01",144.194032642752
"2015-12-01",144.225485321181
"2016-01-01",143.217879723417
"2016-02-01",142.04418927954
"2016-03-01",142.195825283633
"2016-04-01",142.597343038534
"2016-05-01",142.998801280821
"2016-06-01",143.441775740992
"2016-07-01",162.005341966818
"2016-08-01",162.348148188175
"2016-09-01",161.996050804696
"2016-10-01",162.040835947234
"2016-11-01",163.669649051326
"2016-12-01",159.357488749621
"2017-01-01",157.375040954628
"2017-02-01",158.804645074254
