"p_date","mean"
"2011-01-01",95.8488389853448
"2011-02-01",95.9572726034892
"2011-03-01",95.9152996564344
"2011-04-01",112.360317654292
"2011-05-01",112.968947200946
"2011-06-01",113.112254290761
"2011-07-01",113.238915905679
"2011-08-01",114.526539494318
"2011-09-01",117.16150191218
"2011-10-01",117.354409785041
"2011-11-01",117.378376890619
"2011-12-01",117.693090878698
"2012-01-01",114.367462926625
"2012-02-01",114.949167263641
"2012-03-01",115.621353375899
"2012-04-01",118.496152614356
"2012-05-01",118.575330191479
"2012-06-01",119.104865061451
"2012-07-01",120.137805373716
"2012-08-01",120.354858655466
"2012-09-01",120.798739152035
"2012-10-01",135.720928918315
"2012-11-01",135.784076814276
"2012-12-01",144.833780041539
"2013-01-01",142.325891274945
"2013-02-01",145.202262698528
"2013-03-01",150.677523781332
"2013-04-01",151.157927333548
"2013-05-01",152.410505445985
"2013-06-01",152.717301095801
"2013-07-01",152.685275444779
"2013-08-01",152.240214289363
"2013-09-01",151.646909045631
"2013-10-01",151.78419823942
"2013-11-01",151.88390616117
"2013-12-01",151.649153008727
"2014-01-01",149.991916269423
"2014-02-01",149.793402737089
"2014-03-01",149.136158166618
"2014-04-01",148.203032559358
"2014-05-01",148.604892098388
"2014-06-01",167.395233108951
"2014-07-01",166.984561335252
"2014-08-01",167.709495223537
"2014-09-01",167.66091368353
"2014-10-01",167.840606128838
"2014-11-01",167.954885084386
"2014-12-01",168.061285933969
"2015-01-01",166.564511407496
"2015-02-01",166.745972984569
"2015-03-01",166.869465469517
"2015-04-01",167.128101640025
"2015-05-01",166.899530023358
"2015-06-01",166.975737842666
"2015-07-01",166.288226872225
"2015-08-01",165.2621789932
"2015-09-01",163.889089268751
"2015-10-01",161.293415686717
"2015-11-01",161.014413787925
"2015-12-01",160.528587416942
"2016-01-01",158.956243842558
"2016-02-01",158.660171233616
"2016-03-01",158.683080688749
"2016-04-01",158.896934930866
"2016-05-01",159.14197993932
"2016-06-01",159.778296219692
"2016-07-01",180.021658712634
"2016-08-01",180.256304282775
"2016-09-01",179.08845402827
"2016-10-01",179.192850415386
"2016-11-01",180.609486656565
"2016-12-01",178.497037934552
"2017-01-01",176.808094639269
"2017-02-01",177.470657506034
